SKU,f_GHz,lanes,I_FLOPsPerByte,Compute_PF,Roof_PF,Realized_PF,Power_lin_W,Power_sq_W,PerfW_lin_TF/W,PerfW_sq_TF/W
V1-H_HBM,0.5,1,64,0.9437184000000001,0.272,0.272,432.7272727272727,311.2396694214876,0.6285714285714287,0.8739245884227298
V1-H_HBM,0.5,1,256,0.9437184000000001,1.088,0.9437184000000001,432.7272727272727,311.2396694214876,2.180861848739496,3.032127626128519
V1-H_HBM,0.5,1,512,0.9437184000000001,2.176,0.9437184000000001,432.7272727272727,311.2396694214876,2.180861848739496,3.032127626128519
V1-H_HBM,0.5,1,1024,0.9437184000000001,4.352,0.9437184000000001,432.7272727272727,311.2396694214876,2.180861848739496,3.032127626128519
V1-H_HBM,0.5,1,2048,0.9437184000000001,8.704,0.9437184000000001,432.7272727272727,311.2396694214876,2.180861848739496,3.032127626128519
V1-H_HBM,0.5,2,64,1.8874368000000001,0.272,0.272,432.7272727272727,311.2396694214876,0.6285714285714287,0.8739245884227298
V1-H_HBM,0.5,2,256,1.8874368000000001,1.088,1.088,432.7272727272727,311.2396694214876,2.5142857142857147,3.495698353690919
V1-H_HBM,0.5,2,512,1.8874368000000001,2.176,1.8874368000000001,432.7272727272727,311.2396694214876,4.361723697478992,6.064255252257038
V1-H_HBM,0.5,2,1024,1.8874368000000001,4.352,1.8874368000000001,432.7272727272727,311.2396694214876,4.361723697478992,6.064255252257038
V1-H_HBM,0.5,2,2048,1.8874368000000001,8.704,1.8874368000000001,432.7272727272727,311.2396694214876,4.361723697478992,6.064255252257038
V1-H_HBM,0.55,1,64,1.03809024,0.272,0.272,455.0,332.5,0.5978021978021978,0.8180451127819549
V1-H_HBM,0.55,1,256,1.03809024,1.088,1.03809024,455.0,332.5,2.281517010989011,3.122075909774436
V1-H_HBM,0.55,1,512,1.03809024,2.176,1.03809024,455.0,332.5,2.281517010989011,3.122075909774436
V1-H_HBM,0.55,1,1024,1.03809024,4.352,1.03809024,455.0,332.5,2.281517010989011,3.122075909774436
V1-H_HBM,0.55,1,2048,1.03809024,8.704,1.03809024,455.0,332.5,2.281517010989011,3.122075909774436
V1-H_HBM,0.55,2,64,2.07618048,0.272,0.272,455.0,332.5,0.5978021978021978,0.8180451127819549
V1-H_HBM,0.55,2,256,2.07618048,1.088,1.088,455.0,332.5,2.391208791208791,3.2721804511278196
V1-H_HBM,0.55,2,512,2.07618048,2.176,2.07618048,455.0,332.5,4.563034021978022,6.244151819548872
V1-H_HBM,0.55,2,1024,2.07618048,4.352,2.07618048,455.0,332.5,4.563034021978022,6.244151819548872
V1-H_HBM,0.55,2,2048,2.07618048,8.704,2.07618048,455.0,332.5,4.563034021978022,6.244151819548872
