SKU,lanes,f_GHz,Compute_PF,I64_roof_PF,I256_roof_PF,I1024_roof_PF,I2048_roof_PF,I64_real_PF,I256_real_PF,I1024_real_PF,I2048_real_PF,Power_lin_W,Power_sq_W,PerfW_I256_lin_TFperW,PerfW_I256_sq_TFperW
V1-D_DDR,1,0.3,289.40697600000004,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,178.5,127.05,0.6461812885154062,0.9078580086580088
V1-D_DDR,2,0.3,578.8139520000001,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,178.5,127.05,0.6461812885154062,0.9078580086580088
V1-D_DDR,1,0.35,337.641472,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,190.75,135.0125,0.6046834076015728,0.8543161559114899
V1-D_DDR,2,0.35,675.282944,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,190.75,135.0125,0.6046834076015728,0.8543161559114899
V1-D_DDR,1,0.4,385.87596800000006,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,203.0,144.2,0.5681938916256158,0.7998846047156729
V1-D_DDR,2,0.4,771.7519360000001,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,203.0,144.2,0.5681938916256158,0.7998846047156729
V1-D_DDR,1,0.45,434.11046400000004,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,215.25,154.6125,0.5358576538908247,0.7460157490500445
V1-D_DDR,2,0.45,868.2209280000001,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,215.25,154.6125,0.5358576538908247,0.7460157490500445
V1-D_DDR,1,0.5,482.34496,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,227.5,166.25,0.5070037802197803,0.6937946466165414
V1-D_DDR,2,0.5,964.68992,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,227.5,166.25,0.5070037802197803,0.6937946466165414
V1-D_DDR,1,0.55,530.5794560000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,239.75,179.1125,0.4810984775808134,0.6439715821062182
V1-D_DDR,2,0.55,1061.1589120000003,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,0.028835840000000005,0.11534336000000002,0.4613734400000001,0.9227468800000002,239.75,179.1125,0.4810984775808134,0.6439715821062182
